time,temperature_2m,apparent_temperature,precipitation,rain,snowfall,cloudcover,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,windgusts_10m,shortwave_radiation,weathercode,city
2026-01-20 00:00:00,8.3,6.5,0.0,0.0,0.0,97,88,1013.7,6.1,140,14.4,0.0,3,paris
2026-01-20 01:00:00,8.2,6.1,0.0,0.0,0.0,96,88,1013.8,8.4,133,18.7,0.0,3,paris
2026-01-20 02:00:00,7.8,5.5,0.0,0.0,0.0,83,89,1013.3,9.4,133,19.1,0.0,3,paris
2026-01-20 03:00:00,7.5,5.1,0.0,0.0,0.0,77,92,1012.7,10.0,142,19.8,0.0,2,paris
2026-01-20 04:00:00,7.0,4.8,0.0,0.0,0.0,69,93,1012.7,8.5,144,20.9,0.0,2,paris
2026-01-20 05:00:00,6.7,4.7,0.0,0.0,0.0,76,94,1012.8,7.0,145,16.9,0.0,2,paris
2026-01-20 06:00:00,6.3,4.0,0.0,0.0,0.0,84,96,1011.9,8.0,126,14.8,0.0,3,paris
2026-01-20 07:00:00,6.2,3.9,0.0,0.0,0.0,93,93,1011.9,7.6,135,18.0,0.0,3,paris
2026-01-20 08:00:00,6.3,3.8,0.0,0.0,0.0,100,91,1011.7,8.7,135,18.0,1.0,3,paris
2026-01-20 09:00:00,6.3,3.8,0.0,0.0,0.0,69,90,1012.5,8.4,133,18.7,44.8,3,paris
2026-01-20 10:00:00,6.6,3.7,0.0,0.0,0.0,91,88,1011.7,10.7,140,22.7,141.0,3,paris
2026-01-20 11:00:00,7.0,4.1,0.0,0.0,0.0,77,86,1011.4,11.0,139,24.5,156.2,2,paris
2026-01-20 12:00:00,7.8,4.9,0.0,0.0,0.0,100,84,1010.9,11.7,137,24.8,224.5,3,paris
2026-01-20 13:00:00,8.4,5.4,0.0,0.0,0.0,100,82,1009.8,12.5,129,26.3,180.8,3,paris
2026-01-20 14:00:00,8.5,5.6,0.0,0.0,0.0,100,82,1009.2,12.2,135,26.3,82.5,3,paris
2026-01-20 15:00:00,8.6,5.8,0.0,0.0,0.0,100,83,1008.4,12.5,131,26.6,118.2,3,paris
2026-01-20 16:00:00,8.7,6.1,0.0,0.0,0.0,100,83,1007.9,10.9,136,26.6,53.5,3,paris
2026-01-20 17:00:00,8.6,6.1,0.0,0.0,0.0,100,85,1007.1,10.1,125,23.8,2.8,3,paris
2026-01-20 18:00:00,8.7,6.1,0.0,0.0,0.0,100,84,1006.6,11.2,130,23.4,0.0,3,paris
2026-01-20 19:00:00,8.6,5.4,0.3,0.3,0.0,100,83,1006.2,14.5,134,29.9,0.0,61,paris
2026-01-20 20:00:00,8.2,5.1,0.5,0.5,0.0,100,83,1005.9,13.6,140,32.4,0.0,61,paris
2026-01-20 21:00:00,7.9,4.7,1.1,1.1,0.0,100,85,1005.3,14.0,136,29.9,0.0,61,paris
2026-01-20 22:00:00,7.7,4.6,0.6,0.6,0.0,100,85,1004.4,13.8,141,32.8,0.0,61,paris
2026-01-20 23:00:00,7.6,4.6,0.7,0.7,0.0,100,87,1003.6,12.7,137,27.0,0.0,61,paris
2026-01-21 00:00:00,7.9,4.8,0.1,0.0,0.0,100,84,1002.9,13.8,147,28.4,0.0,61,paris
2026-01-21 01:00:00,8.3,5.4,0.0,0.0,0.0,100,81,1002.5,12.2,156,28.1,0.0,61,paris
2026-01-21 02:00:00,8.5,5.3,0.2,0.2,0.0,100,79,1001.8,13.6,158,28.1,0.0,61,paris
2026-01-21 03:00:00,8.5,5.2,0.0,0.0,0.0,100,80,1000.7,14.5,157,30.2,0.0,61,paris
2026-01-21 04:00:00,8.2,4.9,0.0,0.0,0.0,100,81,999.7,14.6,164,33.1,0.0,61,paris
2026-01-21 05:00:00,8.1,4.8,0.3,0.3,0.0,100,83,999.4,14.3,162,30.6,0.0,61,paris
2026-01-21 06:00:00,8.1,4.9,0.0,0.0,0.0,100,83,998.8,14.0,162,29.9,0.0,61,paris
2026-01-21 07:00:00,8.0,4.7,0.0,0.0,0.0,100,84,998.1,14.8,157,30.6,0.0,3,paris
2026-01-21 08:00:00,8.2,4.9,0.0,0.0,0.0,100,83,997.3,14.7,158,31.0,1.0,3,paris
2026-01-21 09:00:00,8.5,5.2,0.0,0.0,0.0,100,81,996.6,14.9,160,32.0,19.5,3,paris
2026-01-21 10:00:00,9.1,5.7,0.0,0.0,0.0,98,78,995.9,15.5,158,32.4,69.2,3,paris
2026-01-21 11:00:00,10.1,6.7,0.0,0.0,0.0,97,73,995.0,15.3,156,32.8,129.0,3,paris
2026-01-21 12:00:00,10.9,7.5,0.0,0.0,0.0,100,69,993.8,15.0,150,32.4,159.2,3,paris
2026-01-21 13:00:00,11.9,8.5,0.0,0.0,0.0,95,65,992.9,15.5,149,32.8,198.5,3,paris
2026-01-21 14:00:00,12.6,9.2,0.0,0.0,0.0,75,62,991.9,16.1,146,34.2,241.5,2,paris
2026-01-21 15:00:00,12.8,9.4,0.0,0.0,0.0,100,62,991.2,15.7,143,34.2,173.0,3,paris
2026-01-21 16:00:00,12.4,9.1,0.0,0.0,0.0,100,62,990.6,14.3,137,32.0,53.8,3,paris
2026-01-21 17:00:00,11.6,8.3,0.0,0.0,0.0,100,65,990.0,14.5,132,29.9,3.8,3,paris
2026-01-21 18:00:00,11.4,7.6,0.0,0.0,0.0,100,64,989.8,16.9,140,34.9,0.0,3,paris
2026-01-21 19:00:00,10.9,7.5,0.0,0.0,0.0,99,67,989.7,15.4,143,34.9,0.0,3,paris
2026-01-21 20:00:00,10.5,7.5,0.0,0.0,0.0,100,69,989.6,12.3,148,31.3,0.0,3,paris
2026-01-21 21:00:00,10.0,7.3,0.3,0.4,0.0,100,74,989.6,10.7,140,24.8,0.0,61,paris
2026-01-21 22:00:00,9.4,6.8,0.0,0.0,0.0,100,76,989.3,10.4,136,22.0,0.0,3,paris
2026-01-21 23:00:00,8.9,6.3,0.0,0.0,0.0,99,78,989.1,9.7,135,22.0,0.0,3,paris
2026-01-22 00:00:00,8.3,5.3,0.0,0.0,0.0,99,80,988.8,11.7,124,24.1,0.0,3,paris
2026-01-22 01:00:00,7.6,4.6,0.0,0.0,0.0,86,82,988.7,11.8,128,24.5,0.0,3,paris
2026-01-22 02:00:00,7.1,3.9,0.0,0.0,0.0,98,83,988.7,12.6,127,25.9,0.0,3,paris
2026-01-22 03:00:00,6.7,3.4,0.0,0.0,0.0,95,83,988.4,12.6,127,26.6,0.0,3,paris
2026-01-22 04:00:00,6.4,3.1,0.0,0.0,0.0,100,83,988.4,12.5,129,25.9,0.0,3,paris
2026-01-22 05:00:00,6.4,3.3,0.0,0.0,0.0,100,82,988.4,10.4,134,24.5,0.0,3,paris
2026-01-22 06:00:00,6.5,3.5,0.0,0.0,0.0,99,81,988.5,9.9,134,22.0,0.0,3,paris
2026-01-22 07:00:00,6.7,3.9,0.0,0.0,0.0,100,80,988.6,9.1,137,20.4,0.0,3,paris
2026-01-22 08:00:00,6.9,4.1,0.0,0.0,0.0,100,81,989.2,9.0,143,18.7,2.5,3,paris
2026-01-22 09:00:00,7.2,4.3,0.0,0.0,0.0,100,82,989.5,10.5,143,21.6,40.8,3,paris
2026-01-22 10:00:00,8.0,4.9,0.0,0.0,0.0,98,80,989.4,12.3,148,25.9,114.0,3,paris
2026-01-22 11:00:00,9.2,6.2,0.0,0.0,0.0,94,77,989.1,13.0,152,27.7,192.0,3,paris
2026-01-22 12:00:00,10.6,7.2,0.0,0.0,0.0,96,72,988.4,16.7,161,35.6,259.0,3,paris
2026-01-22 13:00:00,11.6,7.7,0.0,0.0,0.0,99,66,988.1,18.9,171,40.7,225.0,3,paris
2026-01-22 14:00:00,11.8,8.5,0.0,0.0,0.0,97,66,987.7,15.3,153,41.8,119.0,3,paris
2026-01-22 15:00:00,11.6,8.5,0.0,0.0,0.0,98,70,987.7,14.6,170,32.8,64.0,3,paris
2026-01-22 16:00:00,11.1,8.0,0.0,0.0,0.0,76,74,987.5,15.3,171,32.4,29.0,2,paris
2026-01-22 17:00:00,10.5,7.6,0.0,0.0,0.0,80,79,987.8,14.4,176,32.4,4.0,2,paris
2026-01-22 18:00:00,9.8,7.2,0.0,0.0,0.0,59,82,988.2,13.0,177,30.2,0.0,2,paris
2026-01-22 19:00:00,9.2,6.4,0.0,0.0,0.0,65,86,988.2,13.7,175,28.4,0.0,2,paris
2026-01-22 20:00:00,8.9,5.9,0.0,0.0,0.0,93,87,988.2,15.5,180,32.0,0.0,3,paris
2026-01-22 21:00:00,9.1,5.8,0.0,0.0,0.0,92,83,988.2,16.4,195,34.9,0.0,3,paris
2026-01-22 22:00:00,8.9,6.0,0.0,0.0,0.0,89,85,988.3,14.6,200,34.6,0.0,3,paris
2026-01-22 23:00:00,8.4,5.5,0.0,0.0,0.0,52,83,988.4,12.7,195,31.0,0.0,2,paris
2026-01-23 00:00:00,7.6,4.9,0.0,0.0,0.0,66,90,988.7,12.0,187,26.3,0.0,2,paris
2026-01-23 01:00:00,7.5,5.0,0.0,0.0,0.0,81,92,988.8,10.8,178,24.8,0.0,2,paris
2026-01-23 02:00:00,7.5,4.9,0.0,0.0,0.0,90,91,988.6,10.9,163,24.5,0.0,3,paris
2026-01-23 03:00:00,7.2,4.4,0.0,0.0,0.0,100,91,988.4,12.3,165,25.9,0.0,3,paris
2026-01-23 04:00:00,7.0,4.2,0.0,0.0,0.0,86,91,988.1,11.6,158,25.9,0.0,3,paris
2026-01-23 05:00:00,6.7,3.8,0.0,0.0,0.0,100,92,987.5,12.5,147,26.6,0.0,3,paris
2026-01-23 06:00:00,6.3,3.3,0.0,0.0,0.0,100,90,987.2,11.8,140,25.9,0.0,3,paris
2026-01-23 07:00:00,6.1,3.1,0.0,0.0,0.0,100,91,987.4,11.8,140,24.8,0.0,3,paris
2026-01-23 08:00:00,6.2,2.9,0.0,0.0,0.0,100,89,987.4,13.3,139,27.4,2.0,3,paris
2026-01-23 09:00:00,6.4,2.9,0.0,0.0,0.0,100,86,987.5,14.8,151,31.0,28.0,3,paris
2026-01-23 10:00:00,6.8,3.4,0.2,0.2,0.0,100,84,987.4,14.3,155,31.3,61.0,61,paris
2026-01-23 11:00:00,7.2,3.7,0.2,0.2,0.0,100,83,987.4,15.0,156,31.7,79.0,61,paris
2026-01-23 12:00:00,8.1,4.4,0.1,0.1,0.0,98,79,987.3,16.4,165,34.6,147.0,61,paris
2026-01-23 13:00:00,8.3,4.7,0.2,0.2,0.0,97,78,987.3,16.0,166,34.2,141.0,61,paris
2026-01-23 14:00:00,8.2,4.8,0.2,0.2,0.0,97,78,987.4,14.8,166,32.8,111.0,61,paris
2026-01-23 15:00:00,8.1,4.8,0.2,0.2,0.0,96,79,987.5,13.8,165,31.3,78.0,61,paris
2026-01-23 16:00:00,7.7,4.5,0.0,0.0,0.0,82,82,987.7,13.1,159,29.5,44.0,2,paris
2026-01-23 17:00:00,7.1,4.0,0.0,0.0,0.0,68,85,987.9,12.6,153,27.4,10.0,2,paris
2026-01-23 18:00:00,6.6,3.6,0.0,0.0,0.0,54,88,988.1,12.0,147,25.2,0.0,2,paris
2026-01-23 19:00:00,6.3,3.4,0.0,0.0,0.0,69,90,988.5,11.3,149,23.4,0.0,3,paris
2026-01-23 20:00:00,6.2,3.4,0.0,0.0,0.0,85,90,988.9,10.2,157,22.0,0.0,3,paris
2026-01-23 21:00:00,6.0,3.3,0.0,0.0,0.0,100,91,989.3,9.8,163,20.5,0.0,3,paris
2026-01-23 22:00:00,5.8,3.1,0.0,0.0,0.0,100,91,989.6,9.8,163,19.8,0.0,3,paris
2026-01-23 23:00:00,5.6,2.9,0.0,0.0,0.0,100,91,989.9,9.8,163,19.4,0.0,3,paris
2026-01-24 00:00:00,5.4,2.7,0.0,0.0,0.0,100,91,990.2,9.6,160,19.1,0.0,3,paris
2026-01-24 01:00:00,5.2,2.4,0.0,0.0,0.0,100,91,990.5,9.2,159,18.7,0.0,3,paris
2026-01-24 02:00:00,4.9,2.2,0.0,0.0,0.0,100,92,990.9,8.4,160,18.0,0.0,3,paris
2026-01-24 03:00:00,4.6,1.9,0.0,0.0,0.0,100,92,991.2,8.1,159,17.6,0.0,3,paris
2026-01-24 04:00:00,4.5,1.8,0.0,0.0,0.0,88,92,991.4,7.9,156,17.3,0.0,2,paris
2026-01-24 05:00:00,4.3,1.5,0.0,0.0,0.0,76,91,991.6,8.2,151,16.9,0.0,2,paris
2026-01-24 06:00:00,4.3,1.5,0.0,0.0,0.0,64,90,991.9,8.1,148,16.6,0.0,2,paris
2026-01-24 07:00:00,4.2,1.3,0.0,0.0,0.0,61,89,992.4,8.0,144,15.8,0.0,2,paris
2026-01-24 08:00:00,4.1,1.3,0.0,0.0,0.0,58,88,993.0,7.4,141,15.1,10.0,2,paris
2026-01-24 09:00:00,4.4,1.5,0.0,0.0,0.0,55,85,993.5,7.4,141,15.1,61.0,2,paris
2026-01-24 10:00:00,5.3,2.4,0.0,0.0,0.0,48,80,993.7,7.8,146,16.2,143.0,1,paris
2026-01-24 11:00:00,6.6,3.7,0.0,0.0,0.0,42,74,993.7,8.0,153,18.0,234.0,1,paris
2026-01-24 12:00:00,7.7,4.8,0.0,0.0,0.0,35,69,993.6,8.2,157,18.7,304.0,1,paris
2026-01-24 13:00:00,8.5,5.7,0.0,0.0,0.0,23,65,993.4,7.4,151,18.0,322.0,0,paris
2026-01-24 14:00:00,9.1,6.5,0.0,0.0,0.0,12,62,992.9,6.1,135,16.2,291.0,0,paris
2026-01-24 15:00:00,9.3,6.8,0.0,0.0,0.0,0,62,992.6,5.5,122,14.4,215.0,0,paris
2026-01-24 16:00:00,8.7,6.3,0.0,0.0,0.0,5,66,992.6,5.2,115,12.6,107.0,1,paris
2026-01-24 17:00:00,7.6,5.4,0.0,0.0,0.0,9,74,992.7,5.0,111,10.4,19.0,1,paris
2026-01-24 18:00:00,6.6,4.4,0.0,0.0,0.0,14,80,992.9,5.0,111,9.4,0.0,1,paris
2026-01-24 19:00:00,5.8,3.5,0.0,0.0,0.0,43,84,993.1,5.4,110,9.7,0.0,3,paris
2026-01-24 20:00:00,5.1,2.8,0.0,0.0,0.0,71,88,993.4,5.4,110,10.4,0.0,3,paris
2026-01-24 21:00:00,4.5,2.2,0.0,0.0,0.0,100,90,993.6,5.4,110,10.8,0.0,3,paris
2026-01-24 22:00:00,4.1,1.8,0.0,0.0,0.0,92,91,993.7,4.2,110,9.4,0.0,3,paris
2026-01-24 23:00:00,3.7,1.6,0.0,0.0,0.0,85,92,993.7,3.2,117,7.6,0.0,3,paris
2026-01-25 00:00:00,3.4,1.3,0.0,0.0,0.0,77,92,993.7,2.4,117,6.5,0.0,3,paris
2026-01-25 01:00:00,2.9,0.7,0.0,0.0,0.0,74,93,993.8,2.7,113,6.8,0.0,2,paris
2026-01-25 02:00:00,2.5,0.1,0.0,0.0,0.0,70,94,993.9,3.9,112,8.3,0.0,2,paris
2026-01-25 03:00:00,2.1,-0.6,0.0,0.0,0.0,67,95,994.0,5.2,106,10.4,0.0,2,paris
2026-01-25 04:00:00,1.6,-1.3,0.0,0.0,0.0,76,96,993.8,6.5,103,13.1,0.0,3,paris
2026-01-25 05:00:00,1.3,-1.8,0.0,0.0,0.0,88,96,993.7,7.3,101,15.1,0.0,3,paris
2026-01-25 06:00:00,1.2,-1.8,0.0,0.0,0.0,100,95,993.6,7.0,100,15.4,0.0,3,paris
2026-01-25 07:00:00,2.2,-1.0,0.0,0.0,0.0,16,83,992.3,7.1,139,13.7,0.0,2,paris
2026-01-25 08:00:00,2.6,-0.7,0.0,0.0,0.0,30,80,992.5,7.4,141,14.4,11.0,2,paris
2026-01-25 09:00:00,3.2,-0.2,0.0,0.0,0.0,44,76,992.6,8.2,139,16.2,64.0,2,paris
2026-01-25 10:00:00,4.4,0.9,0.0,0.0,0.0,29,71,992.5,9.4,140,19.1,144.0,0,paris
2026-01-25 11:00:00,5.9,2.2,0.0,0.0,0.0,15,66,992.3,11.2,138,22.7,236.0,0,paris
2026-01-25 12:00:00,7.2,3.4,0.0,0.0,0.0,0,62,992.2,12.2,135,25.6,305.0,0,paris
2026-01-25 13:00:00,8.1,4.2,0.0,0.0,0.0,33,59,992.2,12.8,128,27.4,325.0,3,paris
2026-01-25 14:00:00,8.7,4.7,0.0,0.0,0.0,67,58,992.1,13.5,119,28.1,296.0,3,paris
2026-01-25 15:00:00,8.7,4.8,0.0,0.0,0.0,100,59,992.2,13.7,113,28.1,219.0,3,paris
2026-01-25 16:00:00,7.7,4.0,0.0,0.0,0.0,100,66,992.3,13.1,111,27.0,108.0,3,paris
2026-01-25 17:00:00,6.2,2.7,0.0,0.0,0.0,100,75,992.7,11.8,110,25.2,19.0,3,paris
2026-01-25 18:00:00,4.8,1.6,0.0,0.0,0.0,100,83,993.1,10.2,108,22.7,0.0,3,paris
2026-01-25 19:00:00,3.9,0.9,0.0,0.0,0.0,95,87,993.6,7.9,106,19.8,0.0,3,paris
2026-01-25 20:00:00,3.1,0.5,0.0,0.0,0.0,89,90,994.1,5.6,105,16.6,0.0,3,paris
2026-01-25 21:00:00,2.5,0.1,0.0,0.0,0.0,84,92,994.6,3.6,96,13.7,0.0,3,paris
2026-01-25 22:00:00,2.2,-0.1,0.0,0.0,0.0,89,94,994.9,3.0,76,11.5,0.0,3,paris
2026-01-25 23:00:00,2.0,-0.4,0.0,0.0,0.0,95,95,995.2,3.4,58,9.7,0.0,3,paris
2026-01-26 00:00:00,1.8,-0.7,0.0,0.0,0.0,100,95,995.5,3.8,49,8.3,0.0,3,paris
2026-01-26 01:00:00,1.6,-0.9,0.0,0.0,0.0,100,95,995.7,3.9,34,7.6,0.0,3,paris
2026-01-26 02:00:00,1.4,-1.1,0.0,0.0,0.0,100,94,995.9,3.9,22,7.2,0.0,3,paris
2026-01-26 03:00:00,1.2,-1.4,0.0,0.0,0.0,100,94,996.0,3.7,11,6.8,0.0,3,paris
2026-01-26 04:00:00,1.0,-1.6,0.0,0.0,0.0,98,94,996.0,3.2,360,6.5,0.0,3,paris
2026-01-26 05:00:00,0.7,-1.8,0.0,0.0,0.0,95,95,996.0,3.0,346,6.1,0.0,3,paris
2026-01-26 06:00:00,0.6,-1.9,0.0,0.0,0.0,93,95,996.0,3.1,339,6.5,0.0,3,paris
2026-01-26 07:00:00,0.8,-1.9,0.0,0.0,0.0,93,95,996.3,4.0,350,8.6,0.0,3,paris
2026-01-26 08:00:00,1.1,-1.8,0.0,0.0,0.0,94,95,996.7,5.8,4,11.5,8.0,3,paris
2026-01-26 09:00:00,1.4,-1.7,0.0,0.0,0.0,94,94,996.9,6.9,9,14.0,46.0,3,paris
2026-01-26 10:00:00,1.6,-1.5,0.0,0.0,0.0,95,92,996.9,7.3,11,15.1,88.0,3,paris
2026-01-26 11:00:00,1.7,-1.5,0.0,0.0,0.0,97,90,996.7,7.8,13,15.8,121.0,3,paris
2026-01-26 12:00:00,1.9,-1.4,0.0,0.0,0.0,98,88,996.4,7.9,16,16.6,138.0,3,paris
2026-01-26 13:00:00,2.1,-1.3,0.0,0.0,0.0,98,86,996.1,8.6,22,18.0,138.0,3,paris
2026-01-26 14:00:00,2.3,-1.2,0.0,0.0,0.0,99,84,995.6,9.0,29,19.1,120.0,3,paris
2026-01-26 15:00:00,2.3,-1.2,0.0,0.0,0.0,99,83,995.3,9.6,34,20.2,86.0,3,paris
2026-01-26 16:00:00,2.0,-1.6,0.0,0.0,0.0,99,83,995.1,9.7,39,20.2,42.0,3,paris
2026-01-26 17:00:00,1.6,-2.1,0.0,0.0,0.0,100,84,995.0,9.7,42,19.8,8.0,3,paris
2026-01-26 18:00:00,1.2,-2.4,0.0,0.0,0.0,100,85,994.8,9.4,43,19.4,0.0,3,paris
2026-01-26 19:00:00,1.0,-2.5,0.0,0.0,0.0,100,84,994.5,8.7,38,18.4,0.0,3,paris
2026-01-26 20:00:00,0.9,-2.6,0.0,0.0,0.0,100,83,994.2,8.2,29,17.3,0.0,3,paris
2026-01-26 21:00:00,0.9,-2.6,0.0,0.0,0.0,100,83,994.0,8.1,21,16.9,0.0,3,paris
2026-01-26 22:00:00,0.8,-2.7,0.0,0.0,0.0,100,85,993.8,8.6,22,17.6,0.0,3,paris
2026-01-26 23:00:00,0.8,-2.8,0.0,0.0,0.0,100,87,993.7,9.2,26,18.7,0.0,3,paris
2026-01-20 00:00:00,3.4,1.2,0.0,0.0,0.0,100,92,998.3,2.9,60,7.2,0.0,45,lyon
2026-01-20 01:00:00,3.2,1.0,0.0,0.0,0.0,100,94,998.0,2.5,45,8.3,0.0,45,lyon
2026-01-20 02:00:00,3.1,1.0,0.0,0.0,0.0,100,95,998.0,2.8,40,7.2,0.0,45,lyon
2026-01-20 03:00:00,2.5,0.1,0.0,0.0,0.0,100,95,998.1,3.6,37,8.6,0.0,45,lyon
2026-01-20 04:00:00,2.2,-0.3,0.0,0.0,0.0,100,97,997.2,4.2,20,10.8,0.0,45,lyon
2026-01-20 05:00:00,1.9,-0.4,0.0,0.0,0.0,100,99,997.6,3.5,24,11.2,0.0,45,lyon
2026-01-20 06:00:00,1.8,-0.3,0.0,0.0,0.0,100,99,997.0,1.1,108,7.9,0.0,45,lyon
2026-01-20 07:00:00,1.8,-0.4,0.0,0.0,0.0,100,100,997.0,2.6,344,6.8,0.0,45,lyon
2026-01-20 08:00:00,1.8,-0.4,0.0,0.0,0.0,100,100,997.1,2.5,45,9.4,5.8,45,lyon
2026-01-20 09:00:00,2.3,0.1,0.0,0.0,0.0,100,94,997.0,1.8,37,9.4,33.8,45,lyon
2026-01-20 10:00:00,2.4,0.3,0.0,0.0,0.0,100,94,996.8,1.8,11,6.8,81.5,45,lyon
2026-01-20 11:00:00,2.8,0.6,0.0,0.0,0.0,100,92,995.9,2.2,9,7.2,138.2,45,lyon
2026-01-20 12:00:00,3.4,1.4,0.0,0.0,0.0,100,89,995.8,1.1,360,6.5,176.5,3,lyon
2026-01-20 13:00:00,4.4,2.3,0.0,0.0,0.0,100,83,995.1,1.3,34,6.8,230.5,3,lyon
2026-01-20 14:00:00,5.1,2.7,0.0,0.0,0.0,93,78,994.6,4.1,45,10.4,240.5,3,lyon
2026-01-20 15:00:00,5.5,3.1,0.0,0.0,0.0,64,76,994.2,3.3,49,10.4,189.5,2,lyon
2026-01-20 16:00:00,5.2,3.0,0.0,0.0,0.0,56,79,993.7,2.9,60,9.7,77.8,2,lyon
2026-01-20 17:00:00,4.9,2.7,0.0,0.0,0.0,53,82,993.1,2.5,82,7.2,4.0,2,lyon
2026-01-20 18:00:00,4.3,2.1,0.0,0.0,0.0,51,86,992.7,2.7,113,10.4,0.0,2,lyon
2026-01-20 19:00:00,3.8,1.8,0.0,0.0,0.0,33,88,992.5,1.3,56,10.1,0.0,1,lyon
2026-01-20 20:00:00,3.5,1.0,0.0,0.0,0.0,90,91,992.6,4.9,324,10.4,0.0,2,lyon
2026-01-20 21:00:00,3.1,1.0,0.0,0.0,0.0,35,94,992.3,2.0,45,5.4,0.0,1,lyon
2026-01-20 22:00:00,2.7,0.7,0.0,0.0,0.0,16,96,992.4,1.8,307,5.4,0.0,45,lyon
2026-01-20 23:00:00,2.4,0.6,0.0,0.0,0.0,99,97,992.3,0.4,180,3.2,0.0,45,lyon
2026-01-21 00:00:00,2.3,0.1,0.0,0.0,0.0,100,96,991.9,1.8,101,4.0,0.0,45,lyon
2026-01-21 01:00:00,1.4,-0.7,0.0,0.0,0.0,100,95,991.4,0.4,270,10.1,0.0,45,lyon
2026-01-21 02:00:00,1.5,-0.8,0.0,0.0,0.0,100,95,990.6,1.9,68,5.8,0.0,45,lyon
2026-01-21 03:00:00,1.3,-1.1,0.0,0.0,0.0,79,94,989.7,2.3,51,7.2,0.0,45,lyon
2026-01-21 04:00:00,1.3,-0.9,0.0,0.0,0.0,88,94,988.7,1.1,72,4.7,0.0,3,lyon
2026-01-21 05:00:00,1.4,-0.9,0.0,0.0,0.0,78,94,988.5,1.8,360,6.1,0.0,2,lyon
2026-01-21 06:00:00,1.6,-0.8,0.0,0.0,0.0,82,93,987.9,2.3,108,6.1,0.0,3,lyon
2026-01-21 07:00:00,1.7,-0.6,0.0,0.0,0.0,100,93,987.3,1.8,79,4.0,0.0,3,lyon
2026-01-21 08:00:00,1.8,-0.6,0.0,0.0,0.0,100,92,986.6,2.5,352,5.0,17.2,3,lyon
2026-01-21 09:00:00,3.0,0.8,0.0,0.0,0.0,74,87,985.8,1.0,45,4.7,112.0,2,lyon
2026-01-21 10:00:00,5.4,3.4,0.0,0.0,0.0,41,79,985.0,1.3,124,4.7,231.2,2,lyon
2026-01-21 11:00:00,7.6,5.6,0.0,0.0,0.0,33,74,983.9,2.9,180,7.6,321.5,1,lyon
2026-01-21 12:00:00,10.9,6.5,0.0,0.0,0.0,60,59,982.4,19.1,178,42.1,371.0,2,lyon
2026-01-21 13:00:00,11.3,6.7,0.0,0.0,0.0,31,57,981.3,20.2,176,44.6,363.8,1,lyon
2026-01-21 14:00:00,11.3,6.8,0.0,0.0,0.0,43,58,980.7,20.5,177,45.7,309.0,2,lyon
2026-01-21 15:00:00,10.9,6.4,0.0,0.0,0.0,37,60,980.0,20.2,177,45.7,209.2,1,lyon
2026-01-21 16:00:00,10.1,5.8,0.0,0.0,0.0,9,61,979.3,18.1,173,44.6,87.2,1,lyon
2026-01-21 17:00:00,9.3,5.2,0.0,0.0,0.0,0,64,978.8,16.7,174,39.6,5.2,0,lyon
2026-01-21 18:00:00,8.7,4.7,0.0,0.0,0.0,0,63,978.7,15.2,173,36.7,0.0,0,lyon
2026-01-21 19:00:00,8.2,4.4,0.0,0.0,0.0,1,64,978.2,13.7,177,32.4,0.0,0,lyon
2026-01-21 20:00:00,7.9,4.0,0.0,0.0,0.0,2,68,977.5,14.4,180,31.7,0.0,1,lyon
2026-01-21 21:00:00,7.5,3.9,0.0,0.0,0.0,20,71,976.9,13.3,178,30.2,0.0,2,lyon
2026-01-21 22:00:00,7.4,4.0,0.0,0.0,0.0,100,73,976.4,12.4,170,30.6,0.0,2,lyon
2026-01-21 23:00:00,7.5,4.4,0.0,0.0,0.0,100,72,975.9,9.9,170,26.6,0.0,3,lyon
2026-01-22 00:00:00,7.5,4.7,0.0,0.0,0.0,100,67,975.6,6.8,162,21.6,0.0,3,lyon
2026-01-22 01:00:00,7.3,4.5,0.0,0.0,0.0,100,65,975.5,5.8,94,14.4,0.0,3,lyon
2026-01-22 02:00:00,7.1,4.2,0.0,0.0,0.0,100,66,975.6,6.4,106,13.3,0.0,3,lyon
2026-01-22 03:00:00,7.8,4.7,0.0,0.0,0.0,100,62,975.4,7.7,143,16.2,0.0,3,lyon
2026-01-22 04:00:00,7.5,4.4,0.1,0.1,0.0,100,68,975.4,8.5,144,18.0,0.0,61,lyon
2026-01-22 05:00:00,7.5,4.0,0.7,0.7,0.0,100,69,975.5,11.7,169,25.9,0.0,61,lyon
2026-01-22 06:00:00,7.2,3.6,0.4,0.4,0.0,99,70,975.5,11.9,178,27.4,0.0,61,lyon
2026-01-22 07:00:00,6.7,4.0,0.28,0.28,0.0,96,75,975.8,7.1,149,21.3,0.0,61,lyon
2026-01-22 08:00:00,6.0,3.8,0.6,0.6,0.0,100,83,976.5,4.7,124,11.5,4.5,61,lyon
2026-01-22 09:00:00,5.8,3.7,0.85,0.85,0.0,100,87,976.9,4.3,136,8.4,32.0,61,lyon
2026-01-22 10:00:00,5.9,3.9,0.9,0.9,0.0,100,88,977.4,4.3,138,7.6,54.0,61,lyon
2026-01-22 11:00:00,6.4,4.2,0.6,0.6,0.0,97,88,977.1,6.1,135,11.2,83.0,61,lyon
2026-01-22 12:00:00,6.9,4.4,0.2,0.2,0.0,94,86,977.1,8.9,153,16.9,135.0,61,lyon
